threshold,seed,steps,eats,danger,deaths,mb_firing_mean,final_mirror,final_collapse
0.7,11,4000,204,19,0,0.0045583333333333335,0.5834439705323676,0.5800034787931545
0.7,15,4000,186,23,0,0.004491666666666667,0.5777112919204175,0.5728318782942214
0.7,10,4000,222,34,0,0.004523958333333333,0.5633641129874606,0.5864987597356968
0.9,1,4000,178,37,0,0.0010010416666666668,0.5522073307976159,0.5816087097812408
0.9,2,4000,198,27,0,0.001021875,0.5555148122212996,0.5881015596349701
0.9,4,4000,164,52,0,0.0010052083333333332,0.5813518234789816,0.5863230462549889
0.9,3,4000,189,54,0,0.0009864583333333333,0.5353622398562403,0.5580164977209404
0.9,5,4000,184,32,0,0.0009958333333333334,0.5839788767201974,0.5697655509373063
0.9,7,4000,188,28,0,0.0009770833333333333,0.5474624891686805,0.5694178617422572
0.9,9,4000,183,34,0,0.000984375,0.5789307031608348,0.5724036744931457
0.9,8,4000,203,38,0,0.0009937500000000003,0.5720239781322497,0.5966546559227999
0.9,6,4000,224,44,0,0.00096875,0.5198791636127944,0.554005770039219
0.9,11,4000,177,31,0,0.0009135416666666667,0.5791911851334995,0.5828259125064127
0.9,12,4000,190,35,0,0.0009906250000000002,0.5634613607490856,0.7436239711856932
0.9,10,4000,196,35,0,0.0009895833333333332,0.6115733921054798,0.5668880974631967
1.2,1,4000,187,24,0,3.3333333333333335e-05,0.5715925101588835,0.6241481861496413
1.2,2,4000,185,29,0,3.3333333333333335e-05,0.5990479332078762,0.5724886030684339
1.2,4,4000,165,47,0,2.8125e-05,0.5760026932880146,0.594418473198855
1.2,3,4000,158,44,0,4.270833333333333e-05,0.587490137111885,0.538611669761558
1.2,6,4000,199,30,0,3.8541666666666664e-05,0.5573910557594213,0.5795106356340389
0.9,13,4000,183,40,0,0.0009062500000000002,0.6060057039547874,0.5737746109908255
1.2,7,4000,189,28,0,5.4166666666666664e-05,0.5552169600911951,0.5763670335004438
1.2,8,4000,163,41,0,4.270833333333333e-05,0.6225739111563048,0.5686059842574147
1.2,5,4000,183,48,0,5e-05,0.5576494128499918,0.5847497214219197
0.9,14,4000,166,34,0,0.00096875,0.6354180580269925,0.5594818334456557
1.2,9,4000,174,27,0,3.1249999999999994e-05,0.5831740413760383,0.6121075866561082
0.9,15,4000,179,30,0,0.0009239583333333334,0.5595871518133375,0.565381608777243
1.2,11,4000,174,29,0,3.4374999999999995e-05,0.5656029275975414,0.6243553171201883
1.2,10,4000,180,31,0,4.1666666666666665e-05,0.6142092099885939,0.6096432429164731
1.2,13,4000,174,52,0,2.8125e-05,0.5987912233322654,0.6333553462828607
1.2,12,4000,220,32,0,3.0208333333333334e-05,0.5919071840562995,0.5921332398082564
1.2,15,4000,193,14,0,3.8541666666666664e-05,0.5896342720066966,0.5859228611511221
1.2,14,4000,159,11,0,4.5833333333333334e-05,0.5889751025950761,0.5622419784733146
