seed,t,cum_eats,cum_danger,cum_awakenings,energy,mb_firing_rate,mb_w_self_mean,mb_to_motor_w_mean,mb_to_motor_w_max,mirror,awareness_idx,collapse,presence,self_pe
3,16000,795,86,66,0.6639683451414103,0.012525,0.07371269911527634,0.061471350491046906,0.6247995495796204,0.6110550923636309,0.5714285714285714,0.556046895612123,0.9790093402751517,0.09797898700928782
3,16500,828,86,68,0.8870345556974416,0.011349999999999999,0.07346983253955841,0.0625598281621933,0.6501194834709167,0.5829680368635176,0.4117647058823529,0.8092899797855527,0.9660532463925786,0.13949621523883227
3,17000,851,89,70,0.9157446091413498,0.011485,0.0733010396361351,0.06334185600280762,0.6500440835952759,0.5399296776353087,0.967741935483871,0.9037262167145146,0.9630669216868754,0.09526116215500617
3,17500,876,89,74,0.9748469493865966,0.011205,0.07311801612377167,0.06421586871147156,0.6499621272087097,0.5613614092165261,0.7142857142857143,0.8681462357286569,0.9702178596975672,0.17265711670142175
3,18000,901,90,78,0.9421630060911178,0.012945,0.07293543219566345,0.0650797039270401,0.6796987056732178,0.5631281562777647,0.84,0.8118664530970578,0.9740789121529475,0.07980988125161023
3,18500,925,95,82,1.0,0.011215,0.07276787608861923,0.06592685729265213,0.6950035691261292,0.5742129117362839,0.9459459459459459,0.693433485839025,0.9623501323052868,0.18904222598244003
3,19000,952,97,85,0.9136914152622225,0.01076,0.07256439328193665,0.06696190685033798,0.7376556992530823,0.5926736598495248,0.7777777777777778,0.5595754874525569,0.9782530201488822,0.24477496265091128
3,19500,971,97,89,0.9211156144618982,0.0129,0.07242663949728012,0.06763282418251038,0.8124133944511414,0.5983581941583749,0.8888888888888888,0.7537094084204783,0.9612621886978205,0.1993692719089367
3,20000,998,97,92,0.9881845778942108,0.012040000000000002,0.07223133742809296,0.06864117830991745,0.852301836013794,0.6348610134407491,0.775,0.8886966267963569,0.9680946852224601,0.32155454088933755
3,20500,1026,97,94,0.9955802047014236,0.01174,0.07202935963869095,0.06970355659723282,0.8521816730499268,0.5985333178573303,0.7391304347826086,0.8773674710246118,0.9621228742115123,0.14784526706661327
3,21000,1056,98,94,1.0,0.011720000000000001,0.07181358337402344,0.0708707943558693,0.9720436334609985,0.5830733375975097,0.5,0.8154224793842119,0.9663754189895075,0.14930312612676835
3,21500,1078,98,98,0.9970528900146484,0.011765,0.0716557577252388,0.0717366635799408,1.0119343996047974,0.5819652735411722,0.8148148148148148,0.7364871509135634,0.9762224666028936,0.142265335005489
3,22000,1100,106,101,0.7296691203355788,0.013434999999999999,0.07149828970432281,0.07256972789764404,1.1318130493164062,0.563234093840774,0.8648648648648649,0.5590322125328104,0.9738703358164257,0.08948833836352095
3,22500,1123,106,104,0.8313764653682706,0.01146,0.07133401930332184,0.07349113374948502,1.2116769552230835,0.5872984971671125,0.9166666666666666,0.7637275937300966,0.9643698178580997,0.12363686337581235
3,23000,1150,106,106,1.0,0.01311,0.07114878296852112,0.07458348572254181,1.251517653465271,0.5689258793078937,0.8571428571428571,0.8997023776177021,0.9678526693064771,0.17790961593689636
3,23500,1173,106,106,0.9749637334823607,0.011890000000000001,0.07097822427749634,0.07556230574846268,1.2913634777069092,0.4910710600384335,0.9411764705882353,0.8295643670706423,0.9629434317007753,0.2606355406120406
