condition,lesion,seed,steps,total_eats,eat_rate_pct,total_danger,deaths,total_sleep_steps,awakenings,final_mirror,final_awareness_idx,final_continuity,final_collapse_index,final_closure_depth
WITH-SLEEP,FULL,16,8000,360,4.5,42,0,1963,33,0.5585674697129681,0.7037037037037037,0.9998880922794342,0.899318236832029,3
WITH-SLEEP,FULL,17,8000,379,4.7375,56,0,1963,38,0.5862400702730561,0.9,0.9996198117733002,0.8957635328999457,2
WITH-SLEEP,FULL,18,8000,388,4.8500000000000005,60,0,1963,26,0.5344874619197431,0.6,0.9992811977863312,0.9102583744773584,3
WITH-SLEEP,FULL,21,8000,380,4.75,42,0,1963,31,0.5757854823139653,0.8536585365853658,0.999919056892395,0.9031945083463538,3
WITH-SLEEP,FULL,22,8000,369,4.6125,60,0,1963,41,0.5746724965640961,0.9285714285714286,0.9998417794704437,0.8999702916190476,2
WITH-SLEEP,FULL,20,8000,375,4.6875,55,0,1963,26,0.5702016313641245,0.782608695652174,0.9994543790817261,0.8961510611154847,1
WITH-SLEEP,FULL,15,8000,411,5.137499999999999,38,0,1963,33,0.6089062314875557,0.9411764705882353,0.9998525083065033,0.896676164710114,3
WITH-SLEEP,FULL,24,8000,374,4.675,40,0,1963,41,0.5900676802907113,0.8947368421052632,0.9992607235908508,0.903610232499095,3
WITH-SLEEP,FULL,23,8000,405,5.0625,50,0,1963,46,0.6024744282224546,0.9375,0.9993935823440552,0.9002510134705672,3
WITH-SLEEP,FULL,25,8000,371,4.6375,44,0,1963,25,0.5484693314743319,0.896551724137931,0.9997721016407013,0.8961827291271746,2
WITH-SLEEP,FULL,26,8000,371,4.6375,47,0,1963,41,0.6352854322842728,0.8536585365853658,0.9994111359119415,0.8985453754163022,2
WITH-SLEEP,FULL,27,8000,354,4.425,61,0,1963,31,0.5754471540328567,0.8717948717948718,0.9997778534889221,0.8969400409453767,3
WITH-SLEEP,FULL,30,8000,331,4.1375,39,0,1963,46,0.6321681889163991,0.9166666666666666,0.999846339225769,0.8776964597809721,3
NO-SLEEP,sleep,3,8000,357,4.4624999999999995,51,0,0,48,0.564836335056337,0.8,0.9994610846042633,0.9205139219696685,1
NO-SLEEP,sleep,2,8000,371,4.6375,50,0,0,37,0.5878752428373576,0.9642857142857143,0.9975759983062744,0.9031513187619454,1
NO-SLEEP,sleep,1,8000,373,4.6625,52,0,0,41,0.5670744638382951,0.7941176470588235,0.9998504519462585,0.943942493730119,2
WITH-SLEEP,FULL,29,8000,390,4.875,51,0,1963,41,0.5878157601906097,0.9130434782608695,0.9994881749153137,0.8935245843006117,3
WITH-SLEEP,FULL,28,8000,395,4.9375,44,0,1963,50,0.5744300433926997,0.9333333333333333,0.9998061656951904,0.885263681185084,3
NO-SLEEP,sleep,4,8000,367,4.5875,47,0,0,39,0.5666730349268674,0.8571428571428571,0.9999214112758636,0.9269342408481531,2
NO-SLEEP,sleep,5,8000,387,4.8375,57,0,0,41,0.5549443720438405,0.9629629629629629,0.9988813996315002,0.9296043173327182,1
NO-SLEEP,sleep,6,8000,387,4.8375,42,0,0,40,0.5372474347924309,0.8461538461538461,0.9995397627353668,0.9226819595781394,3
NO-SLEEP,sleep,9,8000,355,4.4375,63,0,0,34,0.5942856389946722,0.9130434782608695,0.9998776614665985,0.9365669755211762,3
NO-SLEEP,sleep,7,8000,399,4.987500000000001,42,0,0,41,0.5965080808319696,0.9512195121951219,0.9972558319568634,0.9330619416747392,1
NO-SLEEP,sleep,8,8000,402,5.025,51,0,0,40,0.612157646311741,0.8461538461538461,0.9991234242916107,0.9426301659493721,1
NO-SLEEP,sleep,12,8000,373,4.6625,49,0,0,45,0.6080923116050032,0.7647058823529411,0.999188244342804,0.920082844449414,3
NO-SLEEP,sleep,14,8000,356,4.45,49,0,0,50,0.5716069279725575,0.8947368421052632,0.9994363784790039,0.9314032851195758,3
NO-SLEEP,sleep,13,8000,370,4.625,66,0,0,29,0.5531919691512134,0.8478260869565217,0.9989994168281555,0.9341271382763014,3
NO-SLEEP,sleep,11,8000,383,4.7875,53,0,0,51,0.6133323329224809,0.8,0.9990682005882263,0.9222103983281418,3
