seed,t,cum_eats,cum_danger,cum_awakenings,energy,mb_firing_rate,mb_w_self_mean,mb_to_motor_w_mean,mb_to_motor_w_max,cx_to_motor_w_mean,lh_to_motor_w_mean,seg_to_motor_w_mean,vis_to_mush_w_mean,mirror,awareness_idx,collapse,presence,self_pe
2,13000,610,80,61,0.7158415645360949,0.009680000000000001,0.07505688071250916,0.0555458590388298,0.5190652012825012,0.22177360951900482,0.23096126317977905,0.1113457903265953,0.04712112247943878,0.6150716852173228,0.9473684210526315,0.6033162799763435,0.9686063298261779,0.14788761969035782
2,14000,664,81,68,0.9532099785804751,0.010585,0.07465266436338425,0.057077739387750626,0.5984432101249695,0.23310768604278564,0.24236677587032318,0.11873438209295273,0.047328148037195206,0.5658671412920935,0.75,0.8951316096016944,0.9699815369898523,0.19039718036156164
2,15000,725,89,75,1.0,0.010839999999999999,0.0741986408829689,0.05896429717540741,0.6766027212142944,0.24396459758281708,0.2533515393733978,0.12745562195777893,0.047572676092386246,0.570381908674063,0.6296296296296297,0.8318618344238784,0.963872651722539,0.2101687254215103
2,16000,758,89,79,0.6524760082006454,0.01156,0.07395417988300323,0.060034628957509995,0.6764906048774719,0.24948154389858246,0.2589349150657654,0.1321740299463272,0.047710321843624115,0.5324848881423813,0.7777777777777778,0.5519964615316688,0.9709564809096685,0.22490908269489854
2,17000,805,91,85,0.9527621544837952,0.011269999999999999,0.07360740005970001,0.06157536804676056,0.7579973936080933,0.25679346919059753,0.2662898302078247,0.13875605165958405,0.0479065366089344,0.5740822221871428,0.7857142857142857,0.8854946009098331,0.9655613916045942,0.15413778386458296
2,18000,865,96,90,0.9955542530775071,0.01165,0.07316704839468002,0.06366144865751266,0.7977637052536011,0.2648051977157593,0.27423009276390076,0.147173672914505,0.04816577583551407,0.5804395407919427,0.7894736842105263,0.8204523764708918,0.9691887441956616,0.17040477558109
2,19000,907,96,96,0.938307197380066,0.011439999999999999,0.07286038249731064,0.06510788202285767,0.8775933980941772,0.2698003053665161,0.2794848680496216,0.15311278402805328,0.04834970086812973,0.5642329007806922,0.896551724137931,0.5813574846661737,0.9942733388307239,0.08746218241843136
2,20000,963,99,98,0.9673390023231511,0.01149,0.07245349884033203,0.06715194880962372,0.957335352897644,0.2760496437549591,0.2856711447238922,0.1610603928565979,0.04860733821988106,0.5376960677736436,0.7368421052631579,0.9020919425326682,0.9676030134702002,0.15577972508077778
2,21000,1004,99,104,0.9319204869985582,0.011000000000000001,0.07215704023838043,0.06865721940994263,1.0270079374313354,0.2804862856864929,0.2901102900505066,0.16697707772254944,0.04878891631960869,0.5934757117430002,0.9069767441860465,0.8059218940979909,0.9634291364433054,0.1710638198940218
2,22000,1045,104,110,0.5966136686801905,0.010825,0.07186179608106613,0.07024125009775162,1.1467827558517456,0.28447017073631287,0.29413408041000366,0.17271274328231812,0.04898187890648842,0.5939308648919449,0.88,0.5465532091839019,0.9703628814990337,0.045317390118045794
2,23000,1106,107,111,0.9602709486961365,0.012685,0.07142475247383118,0.07261428982019424,1.1864262819290161,0.2904380261898041,0.3000352084636688,0.18122975528240204,0.049285776913166046,0.5403272527336198,1.0,0.9068342554598633,0.9672347004585616,0.21309758573719625
