t,cum_eats,cum_danger,cum_awakenings,energy,mirror,awareness_idx,continuity,presence,collapse,closure_depth,self_pe,world_pe
9800,481,49,68,0.9556810388326644,0.5712029548208231,0.76,0.9991086721420288,0.9628259082199444,0.8867408512120148,2,0.08229016682450878,1.0775189399719238
10000,481,49,69,0.6615812829732897,0.5748043997972758,0.6875,0.999432235956192,0.9749295197640703,0.5553112713735209,3,0.038360774419270126,0.2908809781074524
10200,491,49,69,0.9219711709022519,0.5618879816721141,0.8055555555555556,0.9984085261821747,0.9650912089572887,0.7958260572718072,2,0.1908606107767822,0.9263908267021179
10400,504,51,69,0.9867152223825455,0.5462714573635478,0.8620689655172413,0.9998305141925812,0.9713726308077975,0.8504744899169279,3,0.16344972982692496,0.9195882081985474
10600,505,51,69,0.8274724278926848,0.5476600659517892,0.8936170212765957,0.9987977743148804,0.9688177821701685,0.5658531661641757,3,0.08731360903264186,0.6420407891273499
10800,512,56,72,0.9452533239364624,0.5615383121616121,0.95,0.9992198050022125,0.9700256713835985,0.8003460636311513,2,0.057998396805010566,1.2148566246032715
11000,526,64,73,1.0,0.6066087330230194,0.8648648648648649,0.9999793469905853,0.9671000998630023,0.8837484170838916,3,0.14561582385569066,1.3605995178222656
11200,528,64,74,0.7823989990949628,0.5979799697400562,0.7894736842105263,0.999693751335144,0.9924196676542009,0.5760810225050318,3,0.08944474020983674,1.4649218320846558
11400,541,64,76,0.9659925627946856,0.6001081110864548,0.8275862068965517,0.9998425841331482,0.9655465919736905,0.8050898696700186,3,0.10756471062180732,1.062379240989685
11600,559,64,76,0.9615000994443894,0.5862171877445251,0.9090909090909091,0.9995671212673187,0.968366245712263,0.8983972247768345,2,0.1132720887140192,1.1537014245986938
11800,559,64,78,0.6679186894893645,0.5906906784272544,0.9090909090909091,0.999728262424469,0.9733918040617336,0.5857243628871664,3,0.04987870861250236,0.31416863203048706
12000,570,64,80,0.986693304157257,0.5810452821990653,0.9285714285714286,0.9997503161430359,0.9638673025103187,0.7914098621319773,3,0.17883057914962527,0.918398380279541
12200,587,64,81,0.9896749388933181,0.5775966642533606,0.9666666666666667,0.9997253119945526,0.9655217286157713,0.8895356512144407,3,0.16431733133014745,0.8345884680747986
12400,587,64,82,0.6973425694465638,0.5826077379531925,0.9545454545454546,0.9973334968090057,0.9746695448302186,0.5434337684315623,3,0.11580213449669544,0.4648273289203644
12600,603,64,83,0.9542490324020385,0.5558487290184481,0.9615384615384616,0.9986281991004944,0.9651336293415864,0.8071253020509475,2,0.11543526093933593,1.2626311779022217
12800,613,65,84,0.9616712330341342,0.5611724592237152,0.9285714285714286,0.9992586970329285,0.9648960148402149,0.8892395272200914,2,0.1862916042552769,0.9299657940864563
13000,613,65,85,0.6693801909208301,0.5608828240141734,0.9285714285714286,0.9984685778617859,0.9690282723577662,0.5648475424861419,2,0.09881051944885848,0.1137184351682663
13200,630,65,86,0.9822859938621522,0.5793376575430594,0.967741935483871,0.9993142485618591,0.9692704327364912,0.8138124291176081,2,0.26135335101248575,1.2543359994888306
13400,646,65,87,0.973431058883667,0.5786301464881896,0.8571428571428571,0.9996231198310852,0.9669126554732446,0.885816444918767,2,0.1956231755028633,1.3926762342453003
13600,649,65,89,0.9484517561912537,0.5891131253081396,0.8571428571428571,0.9997910857200623,0.9680436731493411,0.6142279990523398,3,0.06220403933120011,0.6059749126434326
13800,665,65,89,0.9985275513648987,0.5280921564890706,0.85,0.9994050562381744,0.9656365155988129,0.8188617595071332,3,0.23008849453746166,0.8955643177032471
14000,673,65,90,0.9822744398355483,0.551479866161095,0.78125,0.9993321299552917,0.9672699612334736,0.8840342171783646,3,0.13036775368505618,1.286123275756836
14200,673,65,92,0.6902876851081854,0.5513036868237167,0.78125,0.9984926581382751,0.9694406606833776,0.5783021027754879,3,0.07914064579447831,0.682024359703064
14400,681,67,93,0.9956000785827637,0.5654339266511388,0.5,0.9999370574951172,0.9640038713353876,0.8111953792348141,3,0.17378529634993645,1.338141918182373
14600,700,67,93,0.9896355033397675,0.5762965737563377,0.0,0.9989376664161682,0.9641980884356463,0.8947511978967373,2,0.21931435695516213,1.0816988945007324
14800,700,67,93,0.6957467210292811,0.5780456010095913,0.0,0.9995304346084595,0.9681618863340311,0.5656435919157312,3,0.06008451949795728,0.2797926962375641
15000,716,67,93,0.942522447633743,0.5995736277501567,0.6,0.9988966286182404,0.9670157706636611,0.7932910391796236,2,0.147564029168377,1.0475668907165527
